	Task ID	Date1	Data Value1	Date2	Data Value2	IWA ID	difference in hours	difference in days
0	1	2008-06-01	59.52375	2016-07-01	47.56986	4.A.4.a.8.I03	-11.953890000000001	2952
1	2	2008-06-01	17.556615	2016-07-01	38.12674500000001	4.A.1.a.1.I14	20.570130000000006	2952
2	3	2008-06-01	114.90272999999999	2016-07-01	196.024365	4.A.4.b.4.I12	81.121635	2952
3	4	2008-06-01	61.008075	2016-07-01	33.41709	4.A.2.b.4.I01	-27.590984999999996	2952
4	5	2008-06-01	37.75716	2016-07-01	38.10474000000001	4.A.2.a.4.I11	0.34758000000000777	2952
5	6	2008-06-01	48.56741999999999	2016-07-01	55.814220000000006	4.A.4.b.4.I12	7.246800000000015	2952
6	7	2008-06-01	5.448172499999999	2016-07-01	13.05	4.A.4.a.2.I03	7.6018275000000015	2952
7	8	2008-06-01	15.203137500000002	2016-07-01	31.8058425	4.A.4.b.6.I05	16.602705	2952
8	9	2008-06-01	3.2062500000000003	2016-07-01	19.2783825	4.A.2.b.1.I03	16.0721325	2952
9	9	2008-06-01	3.2062500000000003	2016-07-01	19.2783825	4.A.4.b.4.I09	16.0721325	2952
10	10	2008-06-01	1.53738	2016-07-01	2.3038425	4.A.4.a.2.I11	0.7664625	2952
11	11	2008-06-01	34.103609999999996	2016-07-01	12.957885000000001	4.A.2.a.1.I04	-21.145724999999995	2952
12	11	2008-06-01	34.103609999999996	2016-07-01	12.957885000000001	4.A.4.b.4.I07	-21.145724999999995	2952
13	12	2008-06-01	30.285	2016-07-01	17.59824	4.A.4.a.4.I01	-12.68676	2952
14	13	2008-06-01	44.99892	2016-07-01	64.70658	4.A.4.b.6.I02	19.707660000000004	2952
15	14	2008-06-01	88.39098000000001	2016-07-01	73.11375	4.A.4.b.4.I01	-15.277230000000017	2952
16	15	2008-06-01	34.47	2016-07-01	59.325255	4.A.4.b.4.I01	24.855255	2952
17	16	2008-06-01	9.9	2016-07-01	16.228125	4.A.4.b.4.I12	6.328124999999998	2952
18	17	2008-06-01	13.923652500000001	2016-07-01	45.7931475	4.A.2.a.1.I07	31.869495	2952
19	32	2008-06-01	219.37554	2013-07-01	181.977345	4.A.4.b.4.I12	-37.39819499999999	1856
20	32	2008-06-01	219.37554	2013-07-01	181.977345	4.A.4.b.4.I12	-37.39819499999999	1856
21	33	2008-06-01	49.737487499999986	2013-07-01	89.71062750000002	4.A.2.b.1.I03	39.97314000000003	1856
22	33	2008-06-01	49.737487499999986	2013-07-01	89.71062750000002	4.A.4.b.4.I09	39.97314000000003	1856
23	34	2008-06-01	146.60590499999998	2013-07-01	151.22988	4.A.2.a.4.I07	4.62397500000003	1856
24	35	2008-06-01	97.24594499999999	2013-07-01	145.818405	4.A.1.a.2.I02	48.57246000000002	1856
25	35	2008-06-01	97.24594499999999	2013-07-01	145.818405	4.A.4.a.2.I03	48.57246000000002	1856
26	36	2008-06-01	56.43382500000001	2013-07-01	55.3629375	4.A.2.a.1.I04	-1.070887500000012	1856
27	36	2008-06-01	56.43382500000001	2013-07-01	55.3629375	4.A.4.b.3.I04	-1.070887500000012	1856
28	36	2008-06-01	56.43382500000001	2013-07-01	55.3629375	4.A.4.c.2.I01	-1.070887500000012	1856
29	37	2008-06-01	32.452447500000005	2013-07-01	50.9808825	4.A.4.b.4.I08	18.528434999999995	1856
30	38	2008-06-01	85.91620499999999	2013-07-01	92.3966325	4.A.3.b.6.I08	6.480427500000005	1856
31	38	2008-06-01	85.91620499999999	2013-07-01	92.3966325	4.A.3.b.6.I15	6.480427500000005	1856
32	39	2008-06-01	91.03806	2013-07-01	140.397615	4.A.2.a.1.I05	49.359555	1856
33	39	2008-06-01	91.03806	2013-07-01	140.397615	4.A.2.b.4.I01	49.359555	1856
34	40	2008-06-01	118.31895	2013-07-01	121.7277675	4.A.2.a.4.I07	3.408817499999998	1856
35	40	2008-06-01	118.31895	2013-07-01	121.7277675	4.A.2.b.1.I09	3.408817499999998	1856
36	40	2008-06-01	118.31895	2013-07-01	121.7277675	4.A.2.b.4.I01	3.408817499999998	1856
37	41	2008-06-01	43.79168250000001	2013-07-01	30.330652499999996	4.A.2.b.2.I07	-13.461030000000012	1856
38	41	2008-06-01	43.79168250000001	2013-07-01	30.330652499999996	4.A.4.a.2.I03	-13.461030000000012	1856
39	42	2008-06-01	45.922095	2013-07-01	34.01471250000001	4.A.4.b.4.I11	-11.90738249999999	1856
40	43	2008-06-01	54.307395	2013-07-01	34.3931625	4.A.4.b.4.I12	-19.914232499999997	1856
41	43	2008-06-01	54.307395	2013-07-01	34.3931625	4.A.4.b.6.I05	-19.914232499999997	1856
42	44	2008-06-01	46.8648225	2013-07-01	42.428002500000005	4.A.2.b.3.I01	-4.436819999999997	1856
43	45	2008-06-01	29.414565	2013-07-01	37.3008375	4.A.4.a.7.I02	7.8862725000000005	1856
44	46	2008-06-01	145.8156375	2016-07-01	137.196	4.A.2.a.1.I04	-8.61963750000001	2952
45	46	2008-06-01	145.8156375	2016-07-01	137.196	4.A.4.b.4.I01	-8.61963750000001	2952
46	47	2008-06-01	12.3408225	2016-07-01	27.86247	4.A.2.b.2.I27	15.521647499999998	2952
47	47	2008-06-01	12.3408225	2016-07-01	27.86247	4.A.2.b.4.I03	15.521647499999998	2952
48	48	2008-06-01	14.947065	2016-07-01	8.001000000000001	4.A.4.b.3.I04	-6.946064999999999	2952
49	48	2008-06-01	14.947065	2016-07-01	8.001000000000001	4.A.4.c.2.I01	-6.946064999999999	2952
50	48	2008-06-01	14.947065	2016-07-01	8.001000000000001	4.A.4.c.2.I01	-6.946064999999999	2952
51	49	2008-06-01	82.0306125	2016-07-01	126.09	4.A.2.b.2.I02	44.0593875	2952
52	49	2008-06-01	82.0306125	2016-07-01	126.09	4.A.3.b.6.I08	44.0593875	2952
53	50	2008-06-01	30.300165000000007	2016-07-01	12.762	4.A.2.b.1.I09	-17.538165000000006	2952
54	50	2008-06-01	30.300165000000007	2016-07-01	12.762	4.A.2.b.4.I01	-17.538165000000006	2952
55	50	2008-06-01	30.300165000000007	2016-07-01	12.762	4.A.2.b.4.I01	-17.538165000000006	2952
56	51	2008-06-01	62.4512025	2016-07-01	11.198902499999999	4.A.4.b.4.I09	-51.252300000000005	2952
57	51	2008-06-01	62.4512025	2016-07-01	11.198902499999999	4.A.4.b.4.I09	-51.252300000000005	2952
58	52	2008-06-01	75.26992500000001	2016-07-01	73.422	4.A.4.b.4.I13	-1.8479250000000178	2952
59	53	2008-06-01	33.944444999999995	2016-07-01	24.2750025	4.A.4.a.2.I03	-9.669442499999995	2952
60	54	2008-06-01	67.54599000000002	2016-07-01	56.9193075	4.A.1.a.2.I06	-10.626682500000015	2952
61	54	2008-06-01	67.54599000000002	2016-07-01	56.9193075	4.A.4.c.3.I07	-10.626682500000015	2952
62	55	2008-06-01	31.904775000000004	2016-07-01	19.1896875	4.A.2.b.3.I01	-12.715087500000003	2952
63	56	2008-06-01	25.171335	2016-07-01	27.901102500000004	4.A.4.b.4.I12	2.729767500000005	2952
64	57	2008-06-01	12.044902500000001	2016-07-01	13.392000000000001	4.A.3.b.6.I15	1.3470975000000003	2952
65	58	2008-06-01	72.425025	2016-07-01	62.196255	4.A.2.b.1.I09	-10.228770000000004	2952
66	58	2008-06-01	72.425025	2016-07-01	62.196255	4.A.4.b.3.I04	-10.228770000000004	2952
67	58	2008-06-01	72.425025	2016-07-01	62.196255	4.A.4.b.4.I07	-10.228770000000004	2952
68	59	2008-06-01	14.083942500000001	2016-07-01	26.053672500000005	4.A.4.a.2.I11	11.969730000000004	2952
69	60	2008-06-01	14.463	2016-07-01	25.3667475	4.A.1.b.2.I05	10.9037475	2952
70	60	2008-06-01	14.463	2016-07-01	25.3667475	4.A.4.b.6.I08	10.9037475	2952
71	61	2008-06-01	48.95844749999999	2016-07-01	14.02875	4.A.1.a.2.I02	-34.92969749999999	2952
72	61	2008-06-01	48.95844749999999	2016-07-01	14.02875	4.A.2.a.4.I03	-34.92969749999999	2952
73	62	2008-06-01	3.4156125000000004	2016-07-01	14.805	4.A.2.b.1.I09	11.3893875	2952
74	63	2008-06-01	3.4681725	2016-07-01	2.03733	4.A.4.b.3.I04	-1.4308425000000002	2952
75	66	2009-06-01	117.498375	2015-07-01	93.72246750000001	4.A.2.a.4.I02	-23.775907499999988	2221
76	66	2009-06-01	117.498375	2015-07-01	93.72246750000001	4.A.2.a.4.I02	-23.775907499999988	2221
77	68	2009-06-01	80.86410000000002	2015-07-01	65.191905	4.A.2.b.1.I03	-15.672195000000016	2221
78	68	2009-06-01	80.86410000000002	2015-07-01	65.191905	4.A.4.c.1.I03	-15.672195000000016	2221
79	72	2009-06-01	96.02115750000002	2015-07-01	43.25519250000001	4.A.4.a.2.I06	-52.76596500000001	2221
80	76	2009-06-01	87.11516250000001	2015-07-01	64.6662825	4.A.4.b.3.I04	-22.448880000000017	2221
81	76	2009-06-01	87.11516250000001	2015-07-01	64.6662825	4.A.4.b.4.I01	-22.448880000000017	2221
82	78	2009-06-01	38.5278525	2015-07-01	11.725132499999999	4.A.2.b.2.I12	-26.80272	2221
83	79	2009-06-01	57.1052025	2015-07-01	24.878542500000005	4.A.2.a.4.I02	-32.226659999999995	2221
84	80	2008-06-01	106.95480750000002	2016-07-01	82.58499000000002	4.A.2.b.1.I01	-24.369817499999996	2952
85	81	2008-06-01	24.327	2016-07-01	48.67852500000001	4.A.1.a.2.I03	24.351525000000006	2952
86	81	2008-06-01	24.327	2016-07-01	48.67852500000001	4.A.2.a.1.I07	24.351525000000006	2952
87	82	2008-06-01	72.86940000000001	2016-07-01	114.22746	4.A.4.a.2.I06	41.35805999999998	2952
88	83	2008-06-01	29.236860000000004	2016-07-01	43.92791999999999	4.A.4.a.2.I11	14.69105999999999	2952
89	84	2008-06-01	28.298655000000004	2016-07-01	60.63871499999999	4.A.2.b.1.I01	32.34005999999999	2952
90	85	2008-06-01	22.5991125	2016-07-01	19.3275	4.A.2.b.1.I01	-3.2716125	2952
91	86	2008-06-01	26.442000000000004	2016-07-01	20.314575	4.A.2.b.1.I01	-6.127425000000002	2952
92	87	2008-06-01	22.406085000000004	2016-07-01	37.72233000000001	4.A.3.b.6.I01	15.316245000000002	2952
93	88	2008-06-01	15.813652500000002	2016-07-01	19.149525	4.A.3.b.6.I08	3.335872499999999	2952
94	89	2008-06-01	9.6890625	2016-07-01	36.30339	4.A.2.b.4.I03	26.6143275	2952
95	90	2008-06-01	9.5539725	2016-07-01	17.8734375	4.A.2.b.4.I01	8.319465000000001	2952
96	90	2008-06-01	9.5539725	2016-07-01	17.8734375	4.A.4.a.7.I02	8.319465000000001	2952
97	91	2008-06-01	4.3704	2016-07-01	27.6837975	4.A.2.a.4.I11	23.3133975	2952
98	91	2008-06-01	4.3704	2016-07-01	27.6837975	4.A.2.b.1.I01	23.3133975	2952
99	93	2008-06-01	29.33766	2014-07-01	28.091385000000006	4.A.2.b.3.I01	-1.2462749999999936	2221
100	94	2008-06-01	37.9441125	2014-07-01	54.001755	4.A.4.b.3.I04	16.0576425	2221
101	95	2008-06-01	11.538135	2014-07-01	22.68225	4.A.4.b.4.I07	11.144115	2221
102	97	2008-06-01	30.022289999999998	2014-07-01	26.815365000000007	4.A.4.b.3.I04	-3.206924999999991	2221
103	98	2008-06-01	30.053655000000003	2014-07-01	26.350695	4.A.2.a.1.I02	-3.702960000000001	2221
104	98	2008-06-01	30.053655000000003	2014-07-01	26.350695	4.A.2.a.1.I02	-3.702960000000001	2221
105	99	2008-06-01	8.59032	2014-07-01	23.658525	4.A.2.b.3.I01	15.068205	2221
106	100	2008-06-01	11.3951475	2014-07-01	11.9271375	4.A.4.b.4.I07	0.5319900000000004	2221
107	101	2008-06-01	22.050900000000002	2014-07-01	27.156374999999997	4.A.2.a.1.I02	5.105474999999995	2221
108	101	2008-06-01	22.050900000000002	2014-07-01	27.156374999999997	4.A.4.b.4.I07	5.105474999999995	2221
109	102	2008-06-01	10.897245	2014-07-01	14.901840000000002	4.A.4.b.4.I07	4.004595000000002	2221
110	103	2008-06-01	15.636060000000002	2014-07-01	15.133815000000002	4.A.1.a.1.I09	-0.5022450000000003	2221
111	105	2008-06-01	5.4396675000000005	2014-07-01	8.7005925	4.A.3.b.6.I12	3.2609250000000003	2221
112	105	2008-06-01	5.4396675000000005	2014-07-01	8.7005925	4.A.4.b.4.I07	3.2609250000000003	2221
113	106	2008-06-01	6.40341	2014-07-01	2.3352075	4.A.4.b.3.I04	-4.0682025	2221
114	108	2008-06-01	7.4671875000000005	2014-07-01	6.7909725000000005	4.A.4.a.7.I02	-0.676215	2221
115	111	2008-06-01	1.7384625	2014-07-01	3.589065	4.A.4.b.6.I05	1.8506025000000002	2221
116	130	2009-06-01	91.58382	2014-07-01	130.560795	4.A.3.b.6.I09	38.97697500000001	1856
117	131	2009-06-01	52.79568750000001	2014-07-01	65.664	4.A.4.a.2.I13	12.868312499999995	1856
118	134	2009-06-01	117.2385	2014-07-01	127.60663500000001	4.A.3.b.6.I13	10.36813500000001	1856
119	136	2009-06-01	105.046335	2014-07-01	99.189	4.A.2.b.2.I11	-5.857335000000006	1856
120	138	2009-06-01	42.235987500000014	2014-07-01	62.595	4.A.3.b.6.I13	20.359012499999984	1856
121	139	2009-06-01	23.45589	2014-07-01	29.8547325	4.A.3.b.6.I13	6.398842500000001	1856
122	140	2009-06-01	28.997595	2014-07-01	15.606090000000002	4.A.3.b.6.I09	-13.391504999999999	1856
123	147	2008-06-01	17.484345	2014-07-01	24.73875	4.A.2.b.1.I08	7.254404999999998	2221
124	148	2008-06-01	26.693617500000002	2014-07-01	28.3080375	4.A.1.b.2.I05	1.614419999999999	2221
125	150	2008-06-01	10.624837499999998	2014-07-01	28.0145025	4.A.1.b.3.I04	17.389665	2221
126	151	2008-06-01	11.78397	2014-07-01	24.255	4.A.1.b.3.I02	12.471029999999999	2221
127	152	2008-06-01	2.3913675	2014-07-01	4.59954	4.A.3.b.6.I07	2.2081725000000003	2221
128	152	2008-06-01	2.3913675	2014-07-01	4.59954	4.A.4.a.3.I02	2.2081725000000003	2221
129	153	2008-06-01	5.45625	2014-07-01	27.878535	4.A.1.b.2.I03	22.422285	2221
130	155	2008-06-01	4.049595000000001	2014-07-01	4.809375	4.A.1.a.1.I10	0.7597799999999992	2221
131	156	2003-03-01	46.109835000000004	2010-06-01	60.33395250000001	4.A.2.a.4.I05	14.224117500000006	2649
132	157	2003-03-01	367.1178300000001	2010-06-01	330.53548500000005	4.A.2.b.2.I18	-36.58234500000003	2649
133	157	2003-03-01	367.1178300000001	2010-06-01	330.53548500000005	4.A.3.b.1.I05	-36.58234500000003	2649
134	158	2003-03-01	79.99254000000002	2010-06-01	55.7117325	4.A.2.b.2.I18	-24.280807500000023	2649
135	159	2003-03-01	29.04975	2010-06-01	22.804335000000002	4.A.1.a.1.I06	-6.245414999999998	2649
136	160	2003-03-01	148.61115	2010-06-01	121.29781500000001	4.A.2.b.2.I18	-27.313334999999995	2649
137	161	2003-03-01	160.07584500000004	2010-06-01	138.864915	4.A.2.b.2.I18	-21.210930000000047	2649
138	162	2003-03-01	60.920685000000006	2010-06-01	70.44252750000001	4.A.4.b.4.I01	9.521842500000005	2649
139	162	2003-03-01	60.920685000000006	2010-06-01	70.44252750000001	4.A.4.b.4.I06	9.521842500000005	2649
140	163	2003-03-01	6.082380000000001	2010-06-01	29.3691375	4.A.1.a.2.I11	23.2867575	2649
141	163	2003-03-01	6.082380000000001	2010-06-01	29.3691375	4.A.4.b.6.I04	23.2867575	2649
142	163	2003-03-01	6.082380000000001	2010-06-01	29.3691375	4.A.4.b.6.I05	23.2867575	2649
143	164	2003-03-01	33.67320750000001	2010-06-01	46.06596	4.A.2.a.2.I01	12.392752499999986	2649
144	165	2003-03-01	37.407352499999995	2010-06-01	75.3403275	4.A.2.b.1.I04	37.932975000000006	2649
145	166	2003-03-01	15.032677500000002	2010-06-01	15.784852500000001	4.A.2.b.1.I08	0.7521749999999994	2649
146	167	2003-03-01	45.1190475	2010-06-01	19.0596375	4.A.2.b.2.I18	-26.05941	2649
147	168	2003-03-01	14.407290000000001	2010-06-01	18.6243975	4.A.2.b.2.I18	4.217107499999999	2649
148	169	2003-03-01	87.372945	2010-06-01	39.010455	4.A.2.b.2.I18	-48.36249	2649
149	170	2003-03-01	34.82730000000001	2010-06-01	22.8240675	4.A.1.b.3.I02	-12.003232500000006	2649
150	170	2003-03-01	34.82730000000001	2010-06-01	22.8240675	4.A.3.b.6.I03	-12.003232500000006	2649
151	170	2003-03-01	34.82730000000001	2010-06-01	22.8240675	4.A.3.b.6.I13	-12.003232500000006	2649
152	171	2003-03-01	2.2396725000000006	2010-06-01	7.984755000000001	4.A.1.b.3.I02	5.7450825000000005	2649
153	172	2003-03-01	14.915205	2010-06-01	12.0891375	4.A.2.b.2.I21	-2.8260675000000006	2649
154	173	2003-03-01	82.49519250000002	2010-06-01	54.05688	4.A.4.a.4.I01	-28.438312500000016	2649
155	175	2003-03-01	20.42397	2010-06-01	117.94954500000001	4.A.1.a.1.I16	97.52557500000002	2649
156	175	2003-03-01	20.42397	2010-06-01	117.94954500000001	4.A.3.a.2.I38	97.52557500000002	2649
157	177	2003-03-01	31.301505000000002	2010-06-01	4.459792500000001	4.A.4.a.2.I11	-26.8417125	2649
158	177	2003-03-01	31.301505000000002	2010-06-01	4.459792500000001	4.A.4.a.3.I02	-26.8417125	2649
159	178	2003-03-01	16.61571	2010-06-01	40.56563250000001	4.A.1.a.1.I16	23.949922500000007	2649
160	178	2003-03-01	16.61571	2010-06-01	40.56563250000001	4.A.1.a.1.I16	23.949922500000007	2649
161	180	2003-03-01	1.166805	2010-06-01	0.81144	4.A.3.b.6.I03	-0.35536500000000004	2649
